material,thermal_conductivity,density,specific_heat,wall_thickness,roof_thickness,length,width,height,orientation,insulation_thickness,window_to_wall_ratio,outdoor_temperature,humidity,solar_radiation,wind_speed,pressure,interior_temperature
polyurethane_sandwich,0.022,40.0,1400.0,0.287,0.368,7.06,4.74,2.53,7.6,0.111,0.26,-24.5,66.6,158.9,2.6,613.2,-0.92
burnt_clay_brick,0.77,1900.0,840.0,0.135,0.156,9.02,4.5,2.68,336.8,0.114,0.22,29.9,74.6,290.4,3.3,781.0,19.43
eps_insulated_concrete,0.038,1250.0,1100.0,0.306,0.356,3.49,7.57,3.76,21.8,0.146,0.33,-17.4,25.3,636.3,4.4,677.1,7.66
eps_insulated_concrete,0.038,1250.0,1100.0,0.225,0.375,6.99,9.03,3.56,18.2,0.2,0.34,42.8,84.1,948.7,5.0,804.0,29.83
autoclaved_aerated_concrete,0.16,550.0,1000.0,0.532,0.369,4.48,3.02,3.22,333.5,0.157,0.15,23.8,68.4,883.4,16.9,804.4,26.52
autoclaved_aerated_concrete,0.16,550.0,1000.0,0.248,0.39,8.21,6.8,3.97,20.6,0.117,0.23,34.7,22.6,1060.8,2.9,678.0,24.42
timber_frame,0.13,500.0,1600.0,0.134,0.356,6.63,9.59,3.6,208.4,0.008,0.08,21.0,55.2,416.4,7.3,881.3,25.03
burnt_clay_brick,0.77,1900.0,840.0,0.219,0.207,9.05,5.1,3.06,270.7,0.015,0.21,44.9,89.7,173.3,6.1,711.4,39.13
burnt_clay_brick,0.77,1900.0,840.0,0.54,0.361,6.33,4.1,4.15,253.3,0.122,0.4,20.8,10.6,917.1,8.2,878.6,23.82
autoclaved_aerated_concrete,0.16,550.0,1000.0,0.232,0.365,9.68,4.09,2.99,75.8,0.069,0.29,34.7,50.4,351.1,22.8,621.3,25.53
polyurethane_sandwich,0.022,40.0,1400.0,0.312,0.169,3.03,8.4,3.74,94.3,0.148,0.24,4.9,10.8,175.2,22.2,979.7,28.81
timber_frame,0.13,500.0,1600.0,0.118,0.198,7.97,6.01,2.49,131.3,0.187,0.39,-22.2,38.6,782.1,17.0,748.5,6.55
timber_frame,0.13,500.0,1600.0,0.542,0.21,8.59,4.08,4.35,311.3,0.195,0.33,36.7,12.0,836.6,9.0,990.9,23.87
polyurethane_sandwich,0.022,40.0,1400.0,0.532,0.339,5.4,8.51,2.63,314.0,0.172,0.13,32.2,46.8,405.2,20.1,695.6,18.49
stabilized_earth_block,0.85,1800.0,880.0,0.43,0.208,5.51,3.49,4.02,126.4,0.102,0.29,34.1,36.5,127.6,22.0,709.7,23.95
timber_frame,0.13,500.0,1600.0,0.581,0.165,3.98,6.04,3.93,112.9,0.121,0.23,2.0,56.1,354.7,18.0,600.7,26.54
timber_frame,0.13,500.0,1600.0,0.443,0.381,9.63,4.38,3.31,341.6,0.184,0.27,21.4,20.0,1000.0,13.2,880.1,24.69
burnt_clay_brick,0.77,1900.0,840.0,0.301,0.175,4.15,5.94,4.37,243.8,0.181,0.27,-3.9,53.8,100.4,7.9,780.6,18.55
timber_frame,0.13,500.0,1600.0,0.403,0.183,6.98,7.73,3.47,285.7,0.192,0.31,21.1,32.7,763.9,15.9,639.2,23.87
autoclaved_aerated_concrete,0.16,550.0,1000.0,0.436,0.152,4.79,3.17,2.91,171.0,0.17,0.08,4.0,60.4,294.4,17.7,807.6,29.74
autoclaved_aerated_concrete,0.16,550.0,1000.0,0.174,0.3,11.03,9.02,4.26,280.2,0.044,0.33,23.7,47.2,657.4,23.0,651.0,27.21
autoclaved_aerated_concrete,0.16,550.0,1000.0,0.501,0.294,11.89,7.17,4.4,320.9,0.123,0.3,10.3,76.4,647.9,22.5,912.3,13.04
eps_insulated_concrete,0.038,1250.0,1100.0,0.325,0.321,10.56,4.94,4.03,174.5,0.048,0.2,24.9,28.8,435.8,22.4,633.8,28.86
autoclaved_aerated_concrete,0.16,550.0,1000.0,0.216,0.302,9.36,3.45,3.26,195.3,0.083,0.12,4.4,82.4,684.1,17.7,959.8,32.54
timber_frame,0.13,500.0,1600.0,0.29,0.082,6.17,8.27,4.19,343.2,0.084,0.31,13.2,58.3,320.5,6.3,783.1,15.08
stabilized_earth_block,0.85,1800.0,880.0,0.294,0.294,10.18,8.07,4.17,331.0,0.196,0.24,38.5,57.4,763.0,3.0,780.0,26.71
eps_insulated_concrete,0.038,1250.0,1100.0,0.191,0.163,5.95,6.18,3.11,316.7,0.056,0.38,4.5,76.8,570.3,19.0,621.9,27.36
burnt_clay_brick,0.77,1900.0,840.0,0.212,0.102,11.62,3.28,2.47,89.0,0.168,0.27,-8.3,47.9,214.4,23.7,795.3,13.08
burnt_clay_brick,0.77,1900.0,840.0,0.483,0.134,8.47,8.24,2.64,294.9,0.193,0.09,-23.2,35.0,777.3,24.0,766.6,2.13
polyurethane_sandwich,0.022,40.0,1400.0,0.199,0.269,10.48,4.7,3.86,108.6,0.137,0.33,30.7,55.3,141.1,13.8,877.8,18.21
stabilized_earth_block,0.85,1800.0,880.0,0.353,0.189,10.65,8.76,2.62,345.9,0.127,0.34,24.5,44.8,833.8,24.2,713.4,27.54
timber_frame,0.13,500.0,1600.0,0.487,0.229,10.43,7.15,3.08,88.4,0.187,0.15,6.6,70.0,669.8,17.0,741.3,9.27
eps_insulated_concrete,0.038,1250.0,1100.0,0.525,0.138,4.91,8.58,3.11,316.9,0.14,0.15,-24.3,85.8,185.6,18.3,805.2,1.66
autoclaved_aerated_concrete,0.16,550.0,1000.0,0.445,0.287,7.42,8.55,2.6,79.8,0.138,0.16,15.7,47.9,630.9,11.2,913.3,17.79
burnt_clay_brick,0.77,1900.0,840.0,0.276,0.225,5.76,4.61,3.91,113.6,0.149,0.38,23.3,25.3,838.6,7.6,847.6,27.01
timber_frame,0.13,500.0,1600.0,0.398,0.394,10.49,5.07,3.16,108.8,0.142,0.09,-21.8,14.4,392.1,23.7,867.9,2.0
eps_insulated_concrete,0.038,1250.0,1100.0,0.151,0.084,5.56,6.35,3.12,347.6,0.05,0.35,-17.0,15.2,591.7,14.8,888.3,6.26
autoclaved_aerated_concrete,0.16,550.0,1000.0,0.175,0.26,5.73,9.96,2.65,275.2,0.121,0.33,-9.2,51.8,550.5,11.6,961.3,12.66
eps_insulated_concrete,0.038,1250.0,1100.0,0.253,0.279,8.49,8.18,4.39,74.8,0.042,0.28,-14.0,23.9,175.1,1.1,789.2,8.55
timber_frame,0.13,500.0,1600.0,0.335,0.09,5.59,4.98,4.21,25.6,0.047,0.14,30.4,57.2,903.9,5.7,648.2,21.75
autoclaved_aerated_concrete,0.16,550.0,1000.0,0.424,0.371,10.44,3.5,2.75,110.7,0.15,0.25,-4.8,19.9,788.7,17.8,995.9,20.88
timber_frame,0.13,500.0,1600.0,0.37,0.22,8.38,9.23,3.94,217.3,0.005,0.13,22.2,78.8,687.1,1.5,921.2,26.84
burnt_clay_brick,0.77,1900.0,840.0,0.388,0.324,4.58,6.63,3.33,100.1,0.199,0.2,32.0,87.5,570.0,10.8,734.8,19.9
stabilized_earth_block,0.85,1800.0,880.0,0.529,0.186,9.24,5.02,4.38,292.9,0.11,0.21,-3.0,35.9,1070.2,10.7,816.1,21.88
stabilized_earth_block,0.85,1800.0,880.0,0.429,0.254,6.72,4.31,3.16,272.3,0.125,0.32,-10.8,53.9,1027.7,11.5,893.3,13.92
stabilized_earth_block,0.85,1800.0,880.0,0.114,0.282,10.19,7.97,3.05,4.9,0.082,0.13,33.9,19.1,1047.1,16.5,664.7,25.45
polyurethane_sandwich,0.022,40.0,1400.0,0.246,0.306,6.74,6.38,3.39,164.4,0.029,0.12,17.0,69.7,236.5,2.7,924.5,20.08
eps_insulated_concrete,0.038,1250.0,1100.0,0.27,0.332,5.4,3.02,3.92,301.5,0.116,0.28,35.6,45.7,584.3,9.0,920.4,24.1
eps_insulated_concrete,0.038,1250.0,1100.0,0.328,0.183,4.7,7.88,3.6,84.1,0.155,0.07,27.1,66.4,911.4,10.3,878.7,30.43
polyurethane_sandwich,0.022,40.0,1400.0,0.59,0.239,3.33,6.52,3.64,313.1,0.175,0.2,11.8,46.6,822.4,10.8,875.0,14.51
autoclaved_aerated_concrete,0.16,550.0,1000.0,0.137,0.33,5.39,7.36,3.23,28.9,0.066,0.29,12.4,86.3,726.8,22.3,804.9,15.16
timber_frame,0.13,500.0,1600.0,0.118,0.102,8.68,9.45,4.49,268.8,0.087,0.08,19.4,79.8,543.7,17.7,979.4,21.52
stabilized_earth_block,0.85,1800.0,880.0,0.262,0.098,6.23,6.01,2.91,148.3,0.136,0.11,-12.7,58.8,482.5,17.4,809.0,12.83
timber_frame,0.13,500.0,1600.0,0.172,0.228,5.29,4.79,2.42,289.7,0.18,0.29,-13.9,45.3,445.6,15.1,868.4,9.21
eps_insulated_concrete,0.038,1250.0,1100.0,0.445,0.226,5.72,10.0,4.19,38.4,0.076,0.18,-4.3,65.9,121.9,20.9,766.2,21.42
stabilized_earth_block,0.85,1800.0,880.0,0.383,0.299,9.7,3.34,3.67,178.8,0.181,0.15,30.9,58.6,452.3,16.3,860.8,21.82
polyurethane_sandwich,0.022,40.0,1400.0,0.478,0.326,9.13,3.96,2.6,225.9,0.008,0.33,-22.7,39.2,231.4,22.8,737.2,3.74
eps_insulated_concrete,0.038,1250.0,1100.0,0.188,0.122,7.85,9.8,3.51,328.9,0.166,0.14,32.7,48.5,906.5,18.9,742.3,21.02
stabilized_earth_block,0.85,1800.0,880.0,0.334,0.104,9.79,4.58,3.82,242.8,0.079,0.35,14.0,17.2,494.6,7.3,651.9,17.07
burnt_clay_brick,0.77,1900.0,840.0,0.436,0.295,8.26,8.76,4.37,39.0,0.047,0.06,36.9,54.9,1015.3,6.3,626.6,29.96
eps_insulated_concrete,0.038,1250.0,1100.0,0.555,0.177,6.67,3.98,4.39,109.6,0.099,0.08,37.1,20.9,553.6,17.1,912.1,26.42
timber_frame,0.13,500.0,1600.0,0.31,0.318,4.39,5.9,2.61,176.2,0.082,0.38,-22.7,39.6,543.4,23.8,959.3,5.82
stabilized_earth_block,0.85,1800.0,880.0,0.59,0.198,11.12,7.51,2.53,99.3,0.194,0.38,32.7,17.3,312.1,16.3,1007.9,20.64
stabilized_earth_block,0.85,1800.0,880.0,0.493,0.158,4.13,6.95,2.54,275.5,0.041,0.13,35.9,36.3,247.6,22.6,601.2,26.82
autoclaved_aerated_concrete,0.16,550.0,1000.0,0.594,0.253,10.19,3.77,4.22,47.4,0.072,0.33,16.2,11.3,365.4,4.0,776.8,18.95
stabilized_earth_block,0.85,1800.0,880.0,0.473,0.232,10.0,6.59,2.63,181.4,0.189,0.07,29.8,79.4,621.5,12.0,1004.9,21.84
stabilized_earth_block,0.85,1800.0,880.0,0.599,0.351,6.84,3.76,3.9,159.7,0.18,0.16,-14.6,20.1,724.3,15.0,899.1,17.75
eps_insulated_concrete,0.038,1250.0,1100.0,0.597,0.25,7.08,7.24,2.61,252.6,0.171,0.28,28.8,67.7,315.0,11.8,696.0,15.68
burnt_clay_brick,0.77,1900.0,840.0,0.514,0.208,9.57,5.19,3.06,91.8,0.191,0.29,8.2,17.3,185.4,11.4,912.7,9.62
burnt_clay_brick,0.77,1900.0,840.0,0.506,0.258,8.28,6.93,3.09,44.0,0.071,0.28,27.5,79.4,821.1,24.2,852.2,30.35
burnt_clay_brick,0.77,1900.0,840.0,0.152,0.242,4.39,6.38,4.18,126.0,0.111,0.09,-5.5,28.1,529.1,14.5,922.3,17.89
timber_frame,0.13,500.0,1600.0,0.407,0.286,3.24,9.5,4.14,96.3,0.036,0.3,-3.4,37.2,106.1,21.9,837.9,18.0
eps_insulated_concrete,0.038,1250.0,1100.0,0.135,0.317,11.75,3.64,3.51,135.4,0.091,0.11,-3.2,36.0,1041.4,15.3,971.0,27.53
autoclaved_aerated_concrete,0.16,550.0,1000.0,0.179,0.278,9.07,4.9,3.79,174.8,0.088,0.15,27.8,19.1,529.9,7.8,885.0,32.31
eps_insulated_concrete,0.038,1250.0,1100.0,0.363,0.179,4.98,9.89,2.52,73.6,0.189,0.32,28.5,33.2,220.0,12.9,780.9,14.62
autoclaved_aerated_concrete,0.16,550.0,1000.0,0.29,0.305,7.5,8.83,4.09,25.9,0.172,0.06,-23.7,83.7,962.1,14.8,840.8,0.8
polyurethane_sandwich,0.022,40.0,1400.0,0.42,0.173,6.65,9.76,2.76,341.1,0.092,0.29,0.3,44.9,205.9,11.5,768.2,24.77
stabilized_earth_block,0.85,1800.0,880.0,0.298,0.179,6.06,5.33,2.75,183.8,0.023,0.23,38.4,38.0,827.4,20.7,942.3,38.82
autoclaved_aerated_concrete,0.16,550.0,1000.0,0.151,0.162,4.56,4.07,3.99,27.1,0.19,0.27,7.5,55.1,679.5,17.3,970.5,10.48
polyurethane_sandwich,0.022,40.0,1400.0,0.418,0.28,10.78,7.39,2.72,24.6,0.088,0.16,-5.8,14.5,607.3,8.4,789.8,19.57
stabilized_earth_block,0.85,1800.0,880.0,0.284,0.172,8.8,9.84,2.59,213.9,0.077,0.25,41.8,69.1,141.0,22.8,840.1,33.36
autoclaved_aerated_concrete,0.16,550.0,1000.0,0.261,0.232,4.36,3.43,2.62,323.7,0.069,0.3,10.3,23.8,347.7,11.5,784.6,12.42
timber_frame,0.13,500.0,1600.0,0.405,0.196,11.26,5.71,4.03,244.4,0.01,0.27,-1.6,36.4,658.0,10.3,705.8,21.77
polyurethane_sandwich,0.022,40.0,1400.0,0.582,0.273,4.35,3.57,3.79,330.0,0.062,0.28,21.3,20.3,808.8,3.0,834.7,24.07
polyurethane_sandwich,0.022,40.0,1400.0,0.496,0.34,9.03,8.8,3.95,246.7,0.105,0.28,4.6,38.9,462.6,5.3,690.0,30.48
eps_insulated_concrete,0.038,1250.0,1100.0,0.196,0.4,4.39,5.07,4.06,182.8,0.108,0.31,11.9,63.0,976.4,15.8,850.8,19.65
autoclaved_aerated_concrete,0.16,550.0,1000.0,0.181,0.346,9.94,8.66,2.75,157.6,0.082,0.29,-8.4,45.5,384.9,19.0,788.5,15.65
timber_frame,0.13,500.0,1600.0,0.22,0.389,10.06,9.33,2.81,244.2,0.114,0.2,28.9,72.2,602.9,11.0,668.1,19.48
autoclaved_aerated_concrete,0.16,550.0,1000.0,0.501,0.124,5.25,7.49,4.24,199.6,0.021,0.35,34.6,32.8,863.1,7.5,980.2,32.3
autoclaved_aerated_concrete,0.16,550.0,1000.0,0.516,0.109,11.19,8.72,4.26,335.0,0.083,0.19,1.2,40.9,181.6,6.4,733.8,22.63
stabilized_earth_block,0.85,1800.0,880.0,0.52,0.288,10.12,3.96,3.0,298.7,0.139,0.1,24.4,45.9,105.3,2.9,707.5,26.34
autoclaved_aerated_concrete,0.16,550.0,1000.0,0.374,0.313,7.75,3.78,3.01,108.4,0.01,0.2,30.6,46.6,210.9,22.7,850.6,22.1
stabilized_earth_block,0.85,1800.0,880.0,0.416,0.264,9.47,5.04,2.4,127.0,0.114,0.12,21.8,51.9,460.6,23.9,828.5,24.95
timber_frame,0.13,500.0,1600.0,0.377,0.205,7.23,7.45,4.46,91.3,0.003,0.33,-0.9,68.6,728.3,19.5,908.8,20.03
burnt_clay_brick,0.77,1900.0,840.0,0.167,0.193,6.05,7.5,4.14,246.5,0.196,0.22,-12.2,20.8,816.0,23.6,615.5,13.9
autoclaved_aerated_concrete,0.16,550.0,1000.0,0.122,0.144,3.38,9.53,3.48,356.1,0.109,0.14,27.7,25.3,457.0,19.7,963.6,30.94
burnt_clay_brick,0.77,1900.0,840.0,0.237,0.336,6.93,5.8,3.32,344.3,0.068,0.12,23.4,39.4,897.3,7.4,634.7,26.42
eps_insulated_concrete,0.038,1250.0,1100.0,0.139,0.273,10.4,6.82,3.07,28.8,0.132,0.16,17.2,44.1,789.8,9.4,617.8,20.16
burnt_clay_brick,0.77,1900.0,840.0,0.407,0.219,8.76,8.54,2.52,241.6,0.081,0.23,27.5,22.8,131.1,21.4,884.8,29.82
eps_insulated_concrete,0.038,1250.0,1100.0,0.117,0.102,10.01,5.56,3.2,204.2,0.121,0.29,41.4,39.8,863.1,14.8,822.4,35.59
eps_insulated_concrete,0.038,1250.0,1100.0,0.257,0.169,11.64,3.18,2.79,186.4,0.183,0.09,29.2,66.3,314.6,15.7,891.5,17.97
eps_insulated_concrete,0.038,1250.0,1100.0,0.2,0.123,3.67,4.21,3.9,359.0,0.162,0.39,44.1,63.4,809.5,14.2,722.0,32.33
burnt_clay_brick,0.77,1900.0,840.0,0.526,0.308,11.35,7.46,4.07,183.2,0.024,0.12,-15.3,73.2,126.3,14.3,754.9,3.69
timber_frame,0.13,500.0,1600.0,0.165,0.363,3.59,5.79,3.91,172.3,0.082,0.19,15.2,20.0,417.0,2.8,795.6,19.39
timber_frame,0.13,500.0,1600.0,0.272,0.361,10.02,7.48,2.78,347.9,0.087,0.37,-21.1,19.9,253.0,5.0,735.5,0.32
polyurethane_sandwich,0.022,40.0,1400.0,0.213,0.383,7.67,4.99,2.57,70.7,0.191,0.15,18.8,59.2,193.4,16.4,848.6,20.99
timber_frame,0.13,500.0,1600.0,0.177,0.291,9.49,7.24,4.17,202.9,0.165,0.06,-21.8,61.3,676.8,16.6,922.1,6.81
eps_insulated_concrete,0.038,1250.0,1100.0,0.409,0.09,11.0,6.82,3.75,108.8,0.049,0.33,3.4,46.3,788.6,4.8,774.6,31.87
eps_insulated_concrete,0.038,1250.0,1100.0,0.202,0.274,5.81,8.03,3.94,309.9,0.195,0.1,0.9,54.9,419.1,12.2,712.3,25.63
autoclaved_aerated_concrete,0.16,550.0,1000.0,0.17,0.096,11.51,9.05,3.28,346.6,0.18,0.33,40.4,67.7,289.8,4.8,1018.3,28.19
eps_insulated_concrete,0.038,1250.0,1100.0,0.349,0.179,3.21,9.62,3.46,348.0,0.043,0.17,-21.5,49.6,982.3,16.7,797.6,4.58
timber_frame,0.13,500.0,1600.0,0.104,0.114,4.21,4.85,3.17,145.2,0.009,0.07,14.3,39.0,388.6,10.3,789.1,18.51
timber_frame,0.13,500.0,1600.0,0.24,0.397,9.12,3.83,4.45,141.8,0.159,0.17,40.7,70.4,299.1,13.2,810.0,29.39
stabilized_earth_block,0.85,1800.0,880.0,0.119,0.308,10.24,6.64,2.71,321.5,0.028,0.38,-2.7,41.4,716.5,21.2,849.4,11.93
timber_frame,0.13,500.0,1600.0,0.514,0.25,9.38,5.1,4.11,132.6,0.135,0.39,15.9,73.7,825.3,17.5,611.2,22.11
eps_insulated_concrete,0.038,1250.0,1100.0,0.233,0.29,11.75,7.05,2.88,18.5,0.096,0.23,25.5,72.0,480.2,20.7,701.7,27.64
timber_frame,0.13,500.0,1600.0,0.574,0.115,3.17,5.2,2.72,248.6,0.082,0.32,39.4,79.8,835.8,2.5,658.0,30.29
autoclaved_aerated_concrete,0.16,550.0,1000.0,0.38,0.399,7.31,5.64,4.41,165.5,0.107,0.24,22.3,79.4,780.7,20.3,711.0,28.57
eps_insulated_concrete,0.038,1250.0,1100.0,0.196,0.159,8.02,4.57,4.44,107.1,0.058,0.12,24.3,35.4,448.8,23.4,934.1,26.8
burnt_clay_brick,0.77,1900.0,840.0,0.244,0.264,7.89,9.27,3.23,124.2,0.155,0.1,-22.1,86.4,179.0,23.2,875.5,-0.22
polyurethane_sandwich,0.022,40.0,1400.0,0.34,0.145,7.85,9.53,3.86,49.4,0.123,0.26,-8.0,63.6,631.0,16.3,622.0,17.32
eps_insulated_concrete,0.038,1250.0,1100.0,0.265,0.231,9.13,3.96,4.43,352.0,0.032,0.28,36.6,48.1,750.5,19.1,720.6,26.39
burnt_clay_brick,0.77,1900.0,840.0,0.423,0.371,3.81,7.02,3.52,260.3,0.187,0.37,-12.7,80.6,275.8,23.1,1018.8,11.15
eps_insulated_concrete,0.038,1250.0,1100.0,0.494,0.14,9.74,9.11,3.01,13.5,0.06,0.26,40.0,36.8,554.3,16.4,820.2,28.49
autoclaved_aerated_concrete,0.16,550.0,1000.0,0.526,0.23,4.74,3.79,2.74,165.2,0.051,0.12,26.6,73.3,667.8,19.2,673.7,32.64
polyurethane_sandwich,0.022,40.0,1400.0,0.549,0.345,7.64,3.61,3.81,66.5,0.028,0.16,-7.6,30.9,335.5,19.1,1000.7,16.94
burnt_clay_brick,0.77,1900.0,840.0,0.391,0.263,5.35,5.52,2.9,240.4,0.093,0.11,23.0,83.8,987.8,19.5,889.9,27.44
polyurethane_sandwich,0.022,40.0,1400.0,0.558,0.174,8.53,4.53,2.68,55.1,0.15,0.26,4.1,53.9,570.8,13.9,878.9,30.1
autoclaved_aerated_concrete,0.16,550.0,1000.0,0.481,0.298,8.36,8.51,3.5,190.1,0.072,0.37,-17.1,76.3,1002.9,5.9,825.4,17.55
autoclaved_aerated_concrete,0.16,550.0,1000.0,0.264,0.247,4.05,4.44,3.62,32.7,0.102,0.33,6.7,51.1,556.8,2.4,794.2,9.44
burnt_clay_brick,0.77,1900.0,840.0,0.462,0.207,10.35,8.22,3.61,16.3,0.069,0.07,44.6,84.8,169.0,23.4,613.3,35.61
eps_insulated_concrete,0.038,1250.0,1100.0,0.19,0.123,8.77,8.11,4.42,134.8,0.178,0.21,39.2,40.2,180.2,24.1,967.3,26.08
autoclaved_aerated_concrete,0.16,550.0,1000.0,0.427,0.191,4.61,6.76,3.51,262.0,0.045,0.05,-23.4,33.9,773.5,14.1,823.4,-1.4
autoclaved_aerated_concrete,0.16,550.0,1000.0,0.224,0.191,5.48,9.56,3.92,40.6,0.162,0.2,28.6,80.7,115.6,5.9,642.4,16.15
stabilized_earth_block,0.85,1800.0,880.0,0.323,0.295,10.85,4.71,2.49,158.0,0.108,0.31,29.3,21.2,1093.5,6.6,984.9,27.97
timber_frame,0.13,500.0,1600.0,0.259,0.271,9.05,5.24,3.03,51.6,0.132,0.13,-4.0,14.9,1048.5,22.1,982.9,19.58
polyurethane_sandwich,0.022,40.0,1400.0,0.439,0.258,3.42,5.41,3.75,137.2,0.105,0.29,3.6,34.0,283.9,13.9,701.2,29.77
autoclaved_aerated_concrete,0.16,550.0,1000.0,0.25,0.306,10.25,9.4,3.58,348.4,0.111,0.1,-8.0,26.3,746.7,23.1,955.8,14.56
stabilized_earth_block,0.85,1800.0,880.0,0.368,0.345,3.46,5.64,3.67,14.2,0.015,0.33,16.1,63.7,317.0,6.0,981.0,18.59
burnt_clay_brick,0.77,1900.0,840.0,0.579,0.085,11.43,9.73,2.65,359.8,0.096,0.13,17.3,26.4,1015.1,14.2,925.7,20.48
eps_insulated_concrete,0.038,1250.0,1100.0,0.333,0.288,5.78,5.52,4.25,167.8,0.161,0.3,28.3,35.6,303.1,8.5,619.2,17.58
autoclaved_aerated_concrete,0.16,550.0,1000.0,0.471,0.085,7.98,7.09,3.91,106.3,0.039,0.13,14.9,29.7,650.6,23.6,741.8,17.6
eps_insulated_concrete,0.038,1250.0,1100.0,0.583,0.285,7.42,4.18,4.07,60.9,0.144,0.22,39.2,53.4,741.8,2.4,614.2,27.03
stabilized_earth_block,0.85,1800.0,880.0,0.573,0.294,9.88,5.89,4.17,83.3,0.141,0.05,10.4,39.9,717.8,17.0,858.9,13.25
eps_insulated_concrete,0.038,1250.0,1100.0,0.43,0.085,7.79,5.88,2.44,260.0,0.107,0.15,10.2,65.8,530.6,23.6,675.3,12.48
stabilized_earth_block,0.85,1800.0,880.0,0.362,0.157,8.58,4.77,3.14,286.2,0.016,0.39,7.1,29.5,797.2,8.2,947.8,10.8
stabilized_earth_block,0.85,1800.0,880.0,0.427,0.355,9.84,3.65,3.2,199.0,0.011,0.05,-13.0,50.0,533.9,19.8,837.7,6.45
stabilized_earth_block,0.85,1800.0,880.0,0.547,0.374,5.07,9.31,3.85,204.0,0.054,0.37,22.9,32.4,643.0,16.8,675.3,27.9
burnt_clay_brick,0.77,1900.0,840.0,0.108,0.146,4.3,8.74,4.12,334.4,0.06,0.25,14.7,78.0,777.0,14.0,761.2,17.84
polyurethane_sandwich,0.022,40.0,1400.0,0.17,0.396,9.52,6.51,4.45,19.3,0.087,0.34,-1.2,71.5,1054.9,10.5,924.9,23.8
stabilized_earth_block,0.85,1800.0,880.0,0.417,0.331,7.05,4.6,3.56,135.2,0.037,0.26,1.6,71.8,395.4,6.9,630.9,22.28
burnt_clay_brick,0.77,1900.0,840.0,0.177,0.308,8.71,8.18,3.07,38.4,0.001,0.16,0.2,31.6,232.5,5.5,788.5,8.23
timber_frame,0.13,500.0,1600.0,0.356,0.113,3.81,6.88,3.65,282.4,0.173,0.05,4.0,72.3,824.8,14.4,1016.9,28.23
autoclaved_aerated_concrete,0.16,550.0,1000.0,0.386,0.134,6.43,3.97,3.03,177.5,0.013,0.2,4.5,48.7,176.9,7.0,703.6,25.56
polyurethane_sandwich,0.022,40.0,1400.0,0.348,0.277,7.12,3.95,2.41,142.4,0.168,0.18,35.4,45.2,530.6,20.8,873.4,25.26
timber_frame,0.13,500.0,1600.0,0.168,0.183,11.53,4.41,3.06,347.2,0.194,0.15,23.6,49.3,675.9,6.8,757.9,26.66
eps_insulated_concrete,0.038,1250.0,1100.0,0.283,0.378,4.8,9.98,2.78,276.3,0.005,0.3,41.0,26.8,897.7,21.0,629.0,32.71
eps_insulated_concrete,0.038,1250.0,1100.0,0.436,0.125,5.73,4.77,2.72,152.3,0.075,0.21,16.9,56.6,634.4,23.2,965.2,21.91
eps_insulated_concrete,0.038,1250.0,1100.0,0.372,0.333,6.24,9.27,3.53,229.7,0.017,0.32,21.0,38.4,747.0,2.1,1013.1,25.5
polyurethane_sandwich,0.022,40.0,1400.0,0.423,0.389,5.98,8.57,2.62,35.5,0.044,0.31,14.1,65.0,321.0,10.0,794.5,16.11
polyurethane_sandwich,0.022,40.0,1400.0,0.394,0.24,6.1,3.17,2.62,149.8,0.192,0.09,40.8,21.3,411.9,11.9,686.9,29.06
